title,main_info1,main_info2,main_info3
"Знакомьтесь, Джо Блэк","Meet Joe Black, 1998, 178 мин.",США • мелодрама  Режиссёр: Мартин Брест,"В ролях: Брэд Питт, Энтони Хопкинс"
Молчание ягнят,"The Silence of the Lambs, 1990, 118 мин.",США • триллер  Режиссёр: Джонатан Демме,"В ролях: Джоди Фостер, Энтони Хопкинс"
Приключения Паддингтона 2,"Paddington 2, 2017, 103 мин.",Великобритания • фэнтези  Режиссёр: Пол Кинг,"В ролях: Бен Уишоу, Хью Бонневилль"
Сестрёнка,"2019, 94 мин.",Россия • драма  Режиссёр: Александр Галибин,"В ролях: Арслан Крымчурин, Марта Кесслер"
Любовь и голуби,"1984, 107 мин.",СССР • мелодрама  Режиссёр: Владимир Меньшов,"В ролях: Александр Михайлов, Нина Дорошина"
Мстители: Война бесконечности,"Avengers: Infinity War, 2018, 149 мин.",США • фантастика  Режиссёр: Энтони Руссо,"В ролях: Роберт Дауни мл., Крис Хемсворт"
Укрась прощальное утро цветами обещания,"Sayonara no asa ni yakusoku no hana o kazaro, 2018, 115 мин.",Япония • аниме  Режиссёр: Мари Окада,"В ролях: Манака Ивами, Мию Ирино"
Покровские ворота,"1982, 140 мин.",СССР • мюзикл  Режиссёр: Михаил Козаков,"В ролях: Олег Меньшиков, Леонид Броневой"
Холодное лето пятьдесят третьего...,"1987, 102 мин.",СССР • драма  Режиссёр: Александр Прошкин,"В ролях: Валерий Приёмыхов, Анатолий Папанов"
Война,"2002, 120 мин.",Россия • боевик  Режиссёр: Алексей Балабанов,"В ролях: Алексей Чадов, Иэн Келли"
Малышка на миллион,"Million Dollar Baby, 2004, 132 мин.",США • драма  Режиссёр: Клинт Иствуд,"В ролях: Клинт Иствуд, Хилари Суэнк"
Невероятный мир глазами Энцо,"The Art of Racing in the Rain, 2019, 109 мин.",США • драма  Режиссёр: Саймон Кёртис,"В ролях: Кевин Костнер, Майло Вентимилья"
Игры разума,"A Beautiful Mind, 2001, 135 мин.",США • драма  Режиссёр: Рон Ховард,"В ролях: Рассел Кроу, Эд Харрис"
Не может быть!,"1975, 92 мин.",СССР • мелодрама  Режиссёр: Леонид Гайдай,"В ролях: Михаил Пуговкин, Нина Гребешкова"
Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,"1980, 65 мин.",СССР • криминал  Режиссёр: Игорь Масленников,"В ролях: Василий Ливанов, Виталий Соломин"
Мулан,"Mulan, 1998, 84 мин.",США • мультфильм  Режиссёр: Тони Бэнкрофт,"В ролях: Эдди Мерфи, Лиа Салонга"
"Добро пожаловать, или Посторонним вход воспрещен","1964, 71 мин.",СССР • комедия  Режиссёр: Элем Климов,"В ролях: Виктор Косых, Евгений Евстигнеев"
Терминал,"The Terminal, 2004, 124 мин.",США • драма  Режиссёр: Стивен Спилберг,"В ролях: Том Хэнкс, Кэтрин Зета-Джонс"
Рыбка Поньо на утесе,"Gake no ue no Ponyo, 2008, 101 мин.",Япония • аниме  Режиссёр: Хаяо Миядзаки,"В ролях: Юриа Нара, Хироки Дои"
Человек-паук,"Spider-Man, 2002, 121 мин.",США • фантастика  Режиссёр: Сэм Рэйми,"В ролях: Тоби Магуайр, Уиллем Дефо"
Бесславные ублюдки,"Inglourious Basterds, 2009, 153 мин.",Германия • боевик  Режиссёр: Квентин Тарантино,"В ролях: Брэд Питт, Кристоф Вальц"
Семь,"Se7en, 1995, 127 мин.",США • триллер  Режиссёр: Дэвид Финчер,"В ролях: Брэд Питт, Морган Фриман"
Привидение,"Ghost, 1990, 127 мин.",США • мелодрама  Режиссёр: Джерри Цукер,"В ролях: Патрик Суэйзи, Деми Мур"
Аладдин,"Aladdin, 1992, 90 мин.",США • мультфильм  Режиссёр: Рон Клементс,"В ролях: Скотт Венгер, Робин Уильямс"
Вверх,"Up, 2009, 96 мин.",США • мультфильм  Режиссёр: Пит Доктер,"В ролях: Эдвард Эснер, Кристофер Пламмер"
Гарри Поттер и Орден Феникса,"Harry Potter and the Order of the Phoenix, 2007, 138 мин.",Великобритания • фэнтези  Режиссёр: Дэвид Йейтс,"В ролях: Дэниэл Рэдклифф, Руперт Гринт"
Запах женщины,"Scent of a Woman, 1992, 156 мин.",США • драма  Режиссёр: Мартин Брест,"В ролях: Аль Пачино, Крис О’Доннелл"
Душа,"Soul, 2020, 106 мин.",США • мультфильм  Режиссёр: Пит Доктер,"В ролях: Джейми Фокс, Тина Фей"
Гарри Поттер и Дары Смерти: Часть I,"Harry Potter and the Deathly Hallows - Part 1, 2010, 146 мин.",Великобритания • фэнтези  Режиссёр: Дэвид Йейтс,"В ролях: Дэниэл Рэдклифф, Руперт Гринт"
День сурка,"Groundhog Day, 1993, 101 мин.",США • фэнтези  Режиссёр: Харольд Рэмис,"В ролях: Билл Мюррей, Энди Макдауэлл"
Пираты Карибского моря: На краю света,"Pirates of the Caribbean: At World's End, 2007, 169 мин.",США • приключения  Режиссёр: Гор Вербински,"В ролях: Джонни Депп, Джеффри Раш"
Собачья жизнь,"A Dog's Purpose, 2017, 100 мин.",США • фэнтези  Режиссёр: Лассе Халльстрём,"В ролях: Джош Гад, Деннис Куэйд"
"Хороший, плохой, злой","Il buono, il brutto, il cattivo, 1966, 178 мин.",Италия • вестерн  Режиссёр: Серджио Леоне,"В ролях: Клинт Иствуд, Ли Ван Клиф"
Общество мертвых поэтов,"Dead Poets Society, 1989, 128 мин.",США • драма  Режиссёр: Питер Уир,"В ролях: Робин Уильямс, Роберт Шон Леонард"
Белое солнце пустыни,"1969, 84 мин.",СССР • боевик  Режиссёр: Владимир Мотыль,"В ролях: Анатолий Кузнецов, Спартак Мишулин"
Шерлок Холмс и доктор Ватсон: Двадцатый век начинается,"1986, 150 мин.",СССР • триллер  Режиссёр: Игорь Масленников,"В ролях: Василий Ливанов, Виталий Соломин"
Мимино,"1977, 92 мин.",СССР • драма  Режиссёр: Георгий Данелия,"В ролях: Вахтанг Кикабидзе, Фрунзик Мкртчян"
Анастасия,"Anastasia, 1997, 94 мин.",США • мультфильм  Режиссёр: Дон Блут,"В ролях: Мег Райан, Джон Кьюсак"
Небесный замок Лапута,"Tenkuu no Shiro Laputa, 1986, 125 мин.",Япония • аниме  Режиссёр: Хаяо Миядзаки,"В ролях: Кэйко Ёкодзава, Маюми Танака"
Аватар,"Avatar, 2009, 162 мин.",США • фантастика  Режиссёр: Джеймс Кэмерон,"В ролях: Сэм Уортингтон, Зои Салдана"
Кин-дза-дза!,"1986, 135 мин.",СССР • фантастика  Режиссёр: Георгий Данелия,"В ролях: Станислав Любшин, Евгений Леонов"
Красотка,"Pretty Woman, 1990, 115 мин.",США • мелодрама  Режиссёр: Гэрри Маршалл,"В ролях: Ричард Гир, Джулия Робертс"
Апокалипсис,"Apocalypto, 2006, 139 мин.",США • боевик  Режиссёр: Мэл Гибсон,"В ролях: Руди Янгблад, Далия Эрнандес"
В погоне за счастьем,"The Pursuit of Happyness, 2006, 117 мин.",США • драма  Режиссёр: Габриэле Муччино,"В ролях: Уилл Смит, Джейден Смит"
Чудо,"Wonder, 2017, 113 мин.",США • драма  Режиссёр: Стивен Чбоски,"В ролях: Джейкоб Тремблей, Оуэн Уилсон"
Головоломка,"Inside Out, 2015, 95 мин.",США • мультфильм  Режиссёр: Пит Доктер,"В ролях: Эми Полер, Филлис Смит"
Маугли дикой планеты,"Terra Willy: Planète inconnue, 2019, 90 мин.",Франция • мультфильм  Режиссёр: Эрик Тости,"В ролях: Тимоте Фон Дорп, Эдуард Баэр"
Храброе сердце,"Braveheart, 1995, 178 мин.",США • история  Режиссёр: Мэл Гибсон,"В ролях: Мэл Гибсон, Софи Марсо"
Люди в чёрном,"Men in Black, 1997, 98 мин.",США • фантастика  Режиссёр: Барри Зонненфельд,"В ролях: Томми Ли Джонс, Уилл Смит"
Жестокий романс,"1984, 137 мин.",СССР • драма  Режиссёр: Эльдар Рязанов,"В ролях: Лариса Гузеева, Андрей Мягков"
Игра,"The Game, 1997, 129 мин.",США • триллер  Режиссёр: Дэвид Финчер,"В ролях: Майкл Дуглас, Шон Пенн"
Белорусский вокзал,"1970, 95 мин.",СССР • драма  Режиссёр: Андрей Смирнов,"В ролях: Евгений Леонов, Анатолий Папанов"
Унесённые ветром,"Gone with the Wind, 1939, 222 мин.",США • мелодрама  Режиссёр: Виктор Флеминг,"В ролях: Вивьен Ли, Кларк Гейбл"
Семь жизней,"Seven Pounds, 2008, 118 мин.",США • драма  Режиссёр: Габриэле Муччино,"В ролях: Уилл Смит, Розарио Доусон"
Отпуск по обмену,"The Holiday, 2006, 136 мин.",США • мелодрама  Режиссёр: Нэнси Майерс,"В ролях: Кэмерон Диас, Кейт Уинслет"
Вечера на хуторе близ Диканьки,"1961, 66 мин.",СССР • фэнтези  Режиссёр: Александр Роу,"В ролях: Юрий Тавров, Людмила Хитяева"
Обыкновенное чудо,"1978, 137 мин.",СССР • мюзикл  Режиссёр: Марк Захаров,"В ролях: Олег Янковский, Ирина Купченко"
Лекарь: Ученик Авиценны,"The Physician, 2013, 155 мин.",Германия • приключения  Режиссёр: Филипп Штёльцль,"В ролях: Том Пэйн, Бен Кингсли"
Достать ножи,"Knives Out, 2019, 130 мин.",США • детектив  Режиссёр: Райан Джонсон,"В ролях: Дэниэл Крэйг, Ана де Армас"
Карнавальная ночь,"1956, 78 мин.",СССР • комедия  Режиссёр: Эльдар Рязанов,"В ролях: Игорь Ильинский, Людмила Гурченко"
Омерзительная восьмерка,"The Hateful Eight, 2015, 168 мин.",США • вестерн  Режиссёр: Квентин Тарантино,"В ролях: Курт Рассел, Сэмюэл Л. Джексон"
Невидимая сторона,"The Blind Side, 2009, 129 мин.",США • драма  Режиссёр: Джон Ли Хэнкок,"В ролях: Сандра Буллок, Куинтон Аарон"
Ученик чудовища,"Bakemono no ko, 2015, 119 мин.",Япония • аниме  Режиссёр: Мамору Хосода,"В ролях: Сёта Сомэтани, Кодзи Якусё"
Алеша Попович и Тугарин Змей,"2004, 79 мин.",Россия • мультфильм  Режиссёр: Константин Бронзит,"В ролях: Олег Куликович, Дмитрий Высоцкий"
Ford против Ferrari,"Ford v Ferrari, 2019, 152 мин.",США • биография  Режиссёр: Джеймс Мэнголд,"В ролях: Кристиан Бэйл, Мэтт Дэймон"
Самая обаятельная и привлекательная,"1985, 81 мин.",СССР • мелодрама  Режиссёр: Геральд Бежанов,"В ролях: Ирина Муравьёва, Татьяна Васильева"
Собака на сене,"1977, 138 мин.",СССР • мюзикл  Режиссёр: Ян Фрид,"В ролях: Маргарита Терехова, Михаил Боярский"
Творение Господне,"Something the Lord Made, 2004, 110 мин.",США • драма  Режиссёр: Джозеф Сарджент,"В ролях: Ясин Бей, Алан Рикман"
Человек дождя,"Rain Man, 1988, 133 мин.",США • драма  Режиссёр: Барри Левинсон,"В ролях: Дастин Хоффман, Том Круз"
Ветер крепчает,"Kaze tachinu, 2013, 126 мин.",Япония • аниме  Режиссёр: Хаяо Миядзаки,"В ролях: Хидэаки Анно, Миори Такимото"
Подольские курсанты,"2020, 136 мин.",Россия • военный  Режиссёр: Вадим Шмелев,"В ролях: Алексей Бардуков, Евгений Дятлов"
Железный человек,"Iron Man, 2008, 121 мин.",США • фантастика  Режиссёр: Джон Фавро,"В ролях: Роберт Дауни мл., Джефф Бриджес"
Весна на Заречной улице,"1956, 90 мин.",СССР • драма  Режиссёр: Марлен Хуциев,"В ролях: Нина Иванова, Николай Рыбников"
Монстры на каникулах,"Hotel Transylvania, 2012, 91 мин.",США • мультфильм  Режиссёр: Генндий Тартаковский,"В ролях: Адам Сэндлер, Энди Сэмберг"
Жизнь других,"Das Leben der Anderen, 2006, 137 мин.",Германия • триллер  Режиссёр: Флориан Хенкель фон Доннерсмарк,"В ролях: Ульрих Мюэ, Себастьян Кох"
Человек с бульвара Капуцинов,"1987, 98 мин.",СССР • вестерн  Режиссёр: Алла Сурикова,"В ролях: Андрей Миронов, Александра Яковлева"
Приходи на меня посмотреть,"2000, 101 мин.",Россия • мелодрама  Режиссёр: Михаил Агранович,"В ролях: Олег Янковский, Ирина Купченко"
Таксист,"Taeksi unjeonsa, 2017, 137 мин.",Корея Южная • история  Режиссёр: Чан Хун,"В ролях: Сон Кан-хо, Томас Кречман"
Король говорит!,"The King's Speech, 2010, 118 мин.",Великобритания • драма  Режиссёр: Том Хупер,"В ролях: Колин Фёрт, Джеффри Раш"
Формула любви,"1984, 90 мин.",СССР • мелодрама  Режиссёр: Марк Захаров,"В ролях: Нодар Мгалоблишвили, Александр Абдулов"
Назад в будущее 3,"Back to the Future Part III, 1990, 118 мин.",США • фантастика  Режиссёр: Роберт Земекис,"В ролях: Майкл Дж. Фокс, Кристофер Ллойд"
Счастливое число Слевина,"Lucky Number Slevin, 2005, 110 мин.",США • триллер  Режиссёр: Пол Макгиган,"В ролях: Джош Хартнетт, Брюс Уиллис"
"Свой среди чужих, чужой среди своих","1974, 93 мин.",СССР • боевик  Режиссёр: Никита Михалков,"В ролях: Юрий Богатырев, Александр Кайдановский"
Загадочная история Бенджамина Баттона,"The Curious Case of Benjamin Button, 2008, 166 мин.",США • драма  Режиссёр: Дэвид Финчер,"В ролях: Брэд Питт, Кейт Бланшетт"
Темный рыцарь: Возрождение легенды,"The Dark Knight Rises, 2012, 165 мин.",США • фантастика  Режиссёр: Кристофер Нолан,"В ролях: Кристиан Бэйл, Том Харди"
Доктор Лиза,"2020, 120 мин.",Россия • драма  Режиссёр: Оксана Карас,"В ролях: Чулпан Хаматова, Анджей Хыра"
Расправь крылья,"Donne-moi des ailes, 2019, 113 мин.",Франция • драма  Режиссёр: Николя Ванье,"В ролях: Жан-Поль Рув, Мелани Дотей"
Восточный ветер,"Ostwind, 2013, 106 мин.",Германия • приключения  Режиссёр: Катя фон Гарнье,"В ролях: Ханна Бинке, Марвин Линке"
Вокзал для двоих,"1982, 141 мин.",СССР • драма  Режиссёр: Эльдар Рязанов,"В ролях: Людмила Гурченко, Олег Басилашвили"
Балто,"Balto, 1995, 71 мин.",США • мультфильм  Режиссёр: Саймон Уэллс,"В ролях: Кевин Бейкон, Боб Хоскинс"
Пролетая над гнездом кукушки,"One Flew Over the Cuckoo's Nest, 1975, 133 мин.",США • драма  Режиссёр: Милош Форман,"В ролях: Джек Николсон, Луиза Флетчер"
Максим Перепелица,"1955, 87 мин.",СССР • комедия  Режиссёр: Анатолий Граник,"В ролях: Леонид Быков, Александр Борисов"
Могила светлячков,"Hotaru no Haka, 1988, 88 мин.",Япония • аниме  Режиссёр: Исао Такахата,"В ролях: Цутому Тацуми, Аяно Сираиси"
Мальчик в полосатой пижаме,"The Boy in the Striped Pajamas, 2008, 94 мин.",Великобритания • драма  Режиссёр: Марк Херман,"В ролях: Эйса Баттерфилд, Джек Скэнлон"
Доктор,"2022, 120 мин.",Россия • драма  Режиссёр: Артём Темников,"В ролях: Сергей Пускепалис, Ольга Цирсен"
По семейным обстоятельствам,"1978, 128 мин.",СССР • драма  Режиссёр: Алексей Коренев,"В ролях: Галина Польских, Евгения Ханаева"
Как прогулять школу с пользой,"L'école buissonnière, 2017, 116 мин.",Франция • драма  Режиссёр: Николя Ванье,"В ролях: Франсуа Клюзе, Жан Скандель"
Догвилль,"Dogville, 2003, 178 мин.",Дания • триллер  Режиссёр: Ларс фон Триер,"В ролях: Николь Кидман, Пол Беттани"
Ла-Ла Ленд,"La La Land, 2016, 128 мин.",США • мюзикл  Режиссёр: Дэмьен Шазелл,"В ролях: Райан Гослинг, Эмма Стоун"
Легенда №17,"2012, 134 мин.",Россия • биография  Режиссёр: Николай Лебедев,"В ролях: Данила Козловский, Олег Меньшиков"
Профессионал,"Le professionnel, 1981, 108 мин.",Франция • боевик  Режиссёр: Жорж Лотнер,"В ролях: Жан-Поль Бельмондо, Жан Дезайи"
Счастье в конверте,"2019, 103 мин.",Россия • семейный  Режиссёр: Светлана Суханова,"В ролях: Фёдор Лещев, Ефим Каменецкий"
О чём говорят мужчины,"2010, 93 мин.",Россия • комедия  Режиссёр: Дмитрий Дьяченко,"В ролях: Леонид Барац, Александр Демидов"
Красавица и чудовище,"Beauty and the Beast, 1991, 84 мин.",США • мультфильм  Режиссёр: Гари Труздейл,"В ролях: Робби Бенсон, Джесси Корти"
Амели,"Le Fabuleux destin d'Amélie Poulain, 2001, 122 мин.",Франция • мелодрама  Режиссёр: Жан-Пьер Жёне,"В ролях: Одри Тоту, Матьё Кассовиц"
День выборов,"2007, 125 мин.",Россия • комедия  Режиссёр: Олег Фомин,"В ролях: Леонид Барац, Ростислав Хаит"
В джазе только девушки,"Some Like It Hot, 1959, 119 мин.",США • мелодрама  Режиссёр: Билли Уайлдер,"В ролях: Мэрилин Монро, Тони Кертис"
Ледниковый период,"Ice Age, 2002, 81 мин.",США • мультфильм  Режиссёр: Крис Уэдж,"В ролях: Рэй Романо, Джон Легуизамо"
Республика ШКИД,"1966, 103 мин.",СССР • драма  Режиссёр: Геннадий Полока,"В ролях: Сергей Юрский, Юлия Бурыгина"
Дневник памяти,"The Notebook, 2004, 124 мин.",США • драма  Режиссёр: Ник Кассаветис,"В ролях: Райан Гослинг, Рэйчел Макадамс"
Доспехи Бога 2: Операция Кондор,"Fei ying gai wak, 1991, 106 мин.",Гонконг • боевик  Режиссёр: Джеки Чан,"В ролях: Джеки Чан, Кэрол Чэн"
12 лет рабства,"12 Years a Slave, 2013, 133 мин.",США • драма  Режиссёр: Стив МакКуин,"В ролях: Чиветель Эджиофор, Майкл Фассбендер"
Крепкий орешек,"Die Hard, 1988, 133 мин.",США • боевик  Режиссёр: Джон Мактирнан,"В ролях: Брюс Уиллис, Алан Рикман"
Изгой,"Cast Away, 2000, 143 мин.",США • драма  Режиссёр: Роберт Земекис,"В ролях: Том Хэнкс, Хелен Хант"
Джуманджи,"Jumanji, 1995, 104 мин.",США • фэнтези  Режиссёр: Джо Джонстон,"В ролях: Робин Уильямс, Бонни Хант"
Зверопой 2,"Sing 2, 2021, 110 мин.",США • мультфильм  Режиссёр: Гарт Дженнингс,"В ролях: Тори Келли, Риз Уизерспун"
Дурак,"2014, 116 мин.",Россия • драма  Режиссёр: Юрий Быков,"В ролях: Артём Быстров, Наталья Суркова"
Гостиница Окко,"Wakaokami wa Shougakusei!, 2018, 94 мин.",Япония • аниме  Режиссёр: Китаро Косака,"В ролях: Сэиран Кобаяси, Рина Эндо"
Мачеха,"Stepmom, 1998, 120 мин.",США • драма  Режиссёр: Крис Коламбус,"В ролях: Джулия Робертс, Сьюзен Сарандон"
Такси,"Taxi, 1998, 86 мин.",Франция • боевик  Режиссёр: Жерар Пирес,"В ролях: Сами Насери, Фредерик Дифенталь"
Скрытые фигуры,"Hidden Figures, 2016, 127 мин.",США • драма  Режиссёр: Тед Мелфи,"В ролях: Тараджи П. Хенсон, Октавия Спенсер"
Ворошиловский стрелок,"1999, 95 мин.",Россия • драма  Режиссёр: Станислав Говорухин,"В ролях: Михаил Ульянов, Анна Синякина"
Лило и Стич,"Lilo & Stitch, 2002, 85 мин.",США • мультфильм  Режиссёр: Дин ДеБлуа,"В ролях: Дэйви Чейз, Крис Сандерс"
Блеф,"Bluff storia di truffe e di imbroglioni, 1976, 110 мин.",Италия • комедия  Режиссёр: Серджио Корбуччи,"В ролях: Адриано Челентано, Энтони Куинн"
Берегись автомобиля,"1966, 94 мин.",СССР • криминал  Режиссёр: Эльдар Рязанов,"В ролях: Иннокентий Смоктуновский, Олег Ефремов"
"Ирония судьбы, или С легким паром!","1975, 184 мин.",СССР • мелодрама  Режиссёр: Эльдар Рязанов,"В ролях: Андрей Мягков, Барбара Брыльска"
Реквием по мечте,"Requiem for a Dream, 2000, 102 мин.",США • драма  Режиссёр: Даррен Аронофски,"В ролях: Джаред Лето, Марлон Уайанс"
Мумия,"The Mummy, 1999, 124 мин.",США • фэнтези  Режиссёр: Стивен Соммерс,"В ролях: Брендан Фрейзер, Рэйчел Вайс"
Полосатый рейс,"1961, 87 мин.",СССР • комедия  Режиссёр: Владимир Фетин,"В ролях: Алексей Грибов, Иван Дмитриев"
